id,no_of_persons,no_of_persons:confidence,person_plural,person_plural:confidence,person_singular_dom,person_singular_dom:confidence,person_singular_nondom,person_singular_nondom:confidence,image_url
882949379,one_person,1,,0,,0,"male
gender_is_not_recognizable","0.6562
0.3438",http://upload.wikimedia.org/wikipedia/commons/3/3b/Hugo_M%C3%BChlig_J%C3%A4ger_mit_Hund_im_Grafenberger_Wald.jpg
882949380,one_person,1,,0,,0,male,1,http://upload.wikimedia.org/wikipedia/commons/d/d3/En_f%C3%A6r%C3%B8sk_j%C3%A6ger.jpg
882949381,"one_person
no_person","0.6667
0.3333",,0,,0,male,0.6667,http://upload.wikimedia.org/wikipedia/commons/0/05/Joachim_von_Sandrart_-_November.jpg
882949382,one_person,1,,0,,0,male,1,http://upload.wikimedia.org/wikipedia/commons/5/5c/Hunter_in_Italy_Stavoli_2008_1004.JPG
882949383,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/8/81/Battenberg_J%C3%A4gerkreuz_2.JPG
882949384,one_person,1,,0,,0,male,1,http://upload.wikimedia.org/wikipedia/commons/e/ef/Fotothek_df_n-17_0000047_Elektronikfacharbeiter.jpg
882949385,several_persons_no_single_persons_depiction_is_dominant,1,mixed_but_predominantly_female_persons,1,,0,,0,http://upload.wikimedia.org/wikipedia/de/1/1c/Fotografen-am-roten-teppich.jpg
882949386,several_persons_no_single_persons_depiction_is_dominant,1,"mixed_equal_amount_of_male_and_female_persons
mixed_but_predominantly_male_persons","0.6667
0.3333",,0,,0,http://upload.wikimedia.org/wikipedia/commons/a/a1/2009-06-23-flemming-by-RalfR-04.jpg
882949387,several_persons_no_single_persons_depiction_is_dominant,1,"only_male
mixed_equal_amount_of_male_and_female_persons","0.6562
0.3438",,0,,0,http://upload.wikimedia.org/wikipedia/commons/1/1d/Schleifer-1568.png
882949388,one_person,1,,0,,0,male,1,http://upload.wikimedia.org/wikipedia/commons/d/d3/Werkstatt_und_Schleiferei_im_Gew%C3%B6lbekeller_der_Fa._Gottlob_Brucklacher.JPG
882949389,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/de/5/59/Werkzeug_as.jpg
882949390,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/2/2a/LegoSpritzguss.JPG
882949391,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/de/2/28/Werkzeug_ds.jpg
882949392,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/0/04/ProgressiveDieToyota-strip-scrap.jpg
882949393,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/d/df/AltenpflegemitarbeiterDeutschland.png
882949394,"several_persons_but_one_persons_depiction_is_dominant
several_persons_no_single_persons_depiction_is_dominant","0.6875
0.3125",mixed_but_predominantly_female_persons,0.3125,female,0.6875,,0,http://upload.wikimedia.org/wikipedia/commons/0/01/Bundesarchiv_Bild_183-1985-1206-002%2C_Berlin%2C_Krankenhaus_Friedrichshain%2C_Stationsschwester.jpg
882949395,several_persons_no_single_persons_depiction_is_dominant,1,only_male,1,,0,,0,http://upload.wikimedia.org/wikipedia/commons/6/64/%28Evan_Jenkins_and_David_Jones%2C_two_folk_poets_from_Ffair_Rhos%2C_discussing_their_poems_in_a_cobbler%27s_workshop%29_%286346726249%29.jpg
882949396,"several_persons_no_single_persons_depiction_is_dominant
several_persons_but_one_persons_depiction_is_dominant","0.6667
0.3333",only_male,0.6667,male,0.3333,,0,http://upload.wikimedia.org/wikipedia/commons/9/97/KC-10Cockpit.jpg
882949397,"no_person
several_persons_no_single_persons_depiction_is_dominant","0.6562
0.3438",gender_is_not_recognizable,0.3438,,0,,0,http://upload.wikimedia.org/wikipedia/commons/8/82/ZFA_Azubis_2000-2011.jpg
882949398,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/4/46/Green_City.jpg
882949399,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/9/98/Park_Glienicke.jpg
882949400,"one_person
several_persons_but_one_persons_depiction_is_dominant","0.6667
0.3333",,0,female,0.3333,female,0.6667,http://upload.wikimedia.org/wikipedia/commons/1/18/Erloeserkathedrale_Fuehrung.jpg
882949401,one_person,1,,0,,0,male,1,http://upload.wikimedia.org/wikipedia/commons/a/ad/Portier_mit_Zylinder.JPG
882949402,"several_persons_no_single_persons_depiction_is_dominant
several_persons_but_one_persons_depiction_is_dominant","0.6562
0.3438",mixed_but_predominantly_male_persons,0.6562,male,0.3438,,0,http://upload.wikimedia.org/wikipedia/commons/e/e1/LondonSmog.jpg
882949403,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/7/75/Schriftstellerinnen-Bund_1896.jpg
882949404,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/f/fa/Wiener_Gewerbewappen_Leichenbestatter.jpg
882949405,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/a/a1/Theater_Bielefeld_Maske.jpg
882949406,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/7/7e/Maskenbildnertisch.JPG
882949407,several_persons_no_single_persons_depiction_is_dominant,1,"mixed_equal_amount_of_male_and_female_persons
mixed_but_predominantly_male_persons","0.6667
0.3333",,0,,0,http://upload.wikimedia.org/wikipedia/commons/1/1e/Dubi_Preger.jpg
882949408,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/9/9d/Chocolate_melanger.jpg
882949409,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/f/f3/Solingen_De-Leuw-Stra%C3%9Fe_2015_020.jpg
882949410,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/3/31/Glassblowing_shop.jpg
882949411,"several_persons_but_one_persons_depiction_is_dominant
one_person","0.6667
0.3333",,0,male,0.6667,male,0.3333,http://upload.wikimedia.org/wikipedia/commons/d/db/Glasblaeser.jpg
882949412,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/1/11/Skl%C3%A1rna_Nena%C4%8Dovice%2C_02.jpg
882949413,one_person,1,,0,,0,male,1,http://upload.wikimedia.org/wikipedia/commons/f/f5/Joska_Bodenmais_Glasparadies_Kunstglasbl%C3%A4ser_Apparateglasbl%C3%A4ser.jpg
882949414,one_person,1,,0,,0,male,1,http://upload.wikimedia.org/wikipedia/commons/f/f8/Blowing.jpg
882949415,several_persons_no_single_persons_depiction_is_dominant,1,mixed_but_predominantly_male_persons,1,,0,,0,http://upload.wikimedia.org/wikipedia/commons/5/56/3_Schmiede_am_Feuer.jpg
882949416,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/c/cd/Kunstschmiede_Kunstgu%C3%9F_Villa-Haas.jpg
882949417,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/a/a9/Drache_geschmiedet_1.JPG
882949418,"several_persons_but_one_persons_depiction_is_dominant
several_persons_no_single_persons_depiction_is_dominant","0.6667
0.3333",mixed_but_predominantly_male_persons,0.3333,female,0.6667,,0,http://upload.wikimedia.org/wikipedia/commons/e/e6/Bundesarchiv_Bild_102-00357%2C_Berlin%2C_Kr%C3%A4ftigste_Frau_der_Welt.jpg
882949419,one_person,1,,0,,0,female,1,http://upload.wikimedia.org/wikipedia/commons/4/41/Fair_employee_at_balloon_game.jpg
882949420,one_person,1,,0,,0,female,1,http://upload.wikimedia.org/wikipedia/commons/c/cd/Contorsionist.jpg
882949421,one_person,1,,0,,0,male,1,http://upload.wikimedia.org/wikipedia/commons/f/f5/Mendel_II_047_r.jpg
882949422,"one_person
no_person","0.6667
0.3333",,0,,0,male,0.6667,http://upload.wikimedia.org/wikipedia/commons/e/e1/Fotothek_df_tg_0002165_St%C3%A4ndebuch_%5E_Handwerk_%5E_Drechsler.jpg
882949423,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/4/4e/Elfenbeinschnitzerei_%C3%9Cberseemuseum_Bremen_2009_001a.JPG
882949424,one_person,1,,0,,0,male,1,http://upload.wikimedia.org/wikipedia/commons/3/31/Holzschnitzer-CTH.JPG
882949425,several_persons_no_single_persons_depiction_is_dominant,1,"mixed_but_predominantly_male_persons
mixed_equal_amount_of_male_and_female_persons","0.6875
0.3125",,0,,0,http://upload.wikimedia.org/wikipedia/commons/c/c0/Fotothek_df_tg_0008525_St%C3%A4ndebuch_%5E_Handwerk_%5E_Beruf_%5E_Kunst_%5E_Kunsthandwerk_%5E_Gips_%5E_Alabaster_%5E_Drech.jpg
882949426,one_person,1,,0,,0,male,1,http://upload.wikimedia.org/wikipedia/commons/f/f4/Drechsler_in_Osttimor.jpg
882949427,one_person,1,,0,,0,male,1,http://upload.wikimedia.org/wikipedia/commons/b/b9/Landauer_I_123_r.jpg
882949428,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/0/03/Ivory_objects_from_German_workshops%2C_17._century.jpg
882949429,one_person,1,,0,,0,male,1,http://upload.wikimedia.org/wikipedia/commons/f/f1/Medientechnologe_Druckverarbeitung_MTDV-08-068.jpg
882949430,one_person,1,,0,,0,male,1,http://upload.wikimedia.org/wikipedia/commons/c/c2/Medientechnologie_Druckverarbeitung_MTDV-11-183.jpg
882949431,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/5/52/Medientechnologe_Druckverarbeitung_%C3%9Cbersicht_Pr%C3%BCfungsstruktur.JPG
882949432,"several_persons_no_single_persons_depiction_is_dominant
several_persons_but_one_persons_depiction_is_dominant","0.6667
0.3333",mixed_equal_amount_of_male_and_female_persons,0.6667,female,0.3333,,0,http://upload.wikimedia.org/wikipedia/commons/f/f5/Waitress_taking_an_order.jpg
882949433,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/de/5/5b/Sattlermuseum.jpg
882949434,one_person,1,,0,,0,male,1,http://upload.wikimedia.org/wikipedia/de/5/50/Sattler_bei_der_Arbeit.JPG
882949435,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/c/cf/Sattlerwerkzeug01.jpg
882949436,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/b/bf/Sattler.jpg
882949437,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/8/87/Bremen_Wappen.png
882949438,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/9/9c/Arbeitsamt_Passau.jpg
882949439,"several_persons_no_single_persons_depiction_is_dominant
several_persons_but_one_persons_depiction_is_dominant","0.6667
0.3333",mixed_equal_amount_of_male_and_female_persons,0.6667,male,0.3333,,0,http://upload.wikimedia.org/wikipedia/commons/3/3a/Bundesarchiv_B_145_Bild-P109965%2C_Berlin%2C_Arbeitsamt_Sonnenallee%2C_Arbeitsvermittlung.jpg
882949440,several_persons_no_single_persons_depiction_is_dominant,1,only_male,1,,0,,0,http://upload.wikimedia.org/wikipedia/commons/0/0c/Bundesarchiv_B_145_Bild-F079069-0006%2C_Bonn%2C_Arbeitsamt.jpg
882949441,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/7/7c/Wappen_der_Schriftgiesser.jpg
882949442,one_person,1,,0,,0,male,1,http://upload.wikimedia.org/wikipedia/commons/7/7d/Geigenbauerwerkstatt.jpg
882949443,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/8/8a/Geige_wei%C3%9F.png
882949444,one_person,1,,0,,0,female,1,http://upload.wikimedia.org/wikipedia/commons/5/5a/Varnishing_a_violin.jpg
882949445,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/9/9b/Fingerhoevle.jpg
882949446,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/0/00/Cremonascola.jpg
882949447,one_person,1,,0,,0,female,1,http://upload.wikimedia.org/wikipedia/commons/7/71/Workshop_luthier.jpg
882949448,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/5/5f/Animal_Cell_Cross_Section_Model.jpg
882949449,"several_persons_but_one_persons_depiction_is_dominant
one_person","0.6562
0.3438",,0,male,0.6562,male,0.3438,http://upload.wikimedia.org/wikipedia/commons/7/71/CardiopulmonaryResuscitationBabyDummy.jpg
882949450,"several_persons_no_single_persons_depiction_is_dominant
several_persons_but_one_persons_depiction_is_dominant","0.6667
0.3333",mixed_but_predominantly_female_persons,0.6667,female,0.3333,,0,http://upload.wikimedia.org/wikipedia/commons/b/b6/Bundesarchiv_Bild_183-26072-0002%2C_LPG_Niedergoseln%2C_Blick_in_die_Kinderkrippe.jpg
882949451,"several_persons_no_single_persons_depiction_is_dominant
several_persons_but_one_persons_depiction_is_dominant","0.6667
0.3333",mixed_but_predominantly_female_persons,0.6667,female,0.3333,,0,http://upload.wikimedia.org/wikipedia/commons/6/6d/COLLECTIE_TROPENMUSEUM_Portret_van_een_baboe_met_kinderen_in_de_deuropening_van_een_huis_voor_Europeanen_op_Aek_na_Oeli_TMnr_60051111.jpg
882949452,one_person,1,,0,,0,male,1,http://upload.wikimedia.org/wikipedia/commons/e/e4/Trumpetmaker.jpg
882949453,"several_persons_no_single_persons_depiction_is_dominant
several_persons_but_one_persons_depiction_is_dominant","0.6667
0.3333",only_male,0.6667,male,0.3333,,0,http://upload.wikimedia.org/wikipedia/commons/f/f6/Bundesarchiv_Bild_183-42212-0001%2C_Frauenprie%C3%9Fnitz%2C_Bauern_im_Kuhstall.jpg
882949454,"several_persons_but_one_persons_depiction_is_dominant
several_persons_no_single_persons_depiction_is_dominant","0.6667
0.3333",gender_is_not_recognizable,0.3333,female,0.6667,,0,http://upload.wikimedia.org/wikipedia/commons/c/cc/Fotothek_df_ps_0002497_Bildnisse_-_Portr%C3%A4ts_%5E_Kinderg%C3%A4rtnerinnen_-_Erzieherinnen.jpg
882949455,one_person,1,,0,,0,male,1,http://upload.wikimedia.org/wikipedia/commons/c/cd/Mandenmaker_Zuiderzeemuseum.jpg
882949456,"one_person
no_person","0.6667
0.3333",,0,,0,"male
gender_is_not_recognizable","0.3333
0.3333",http://upload.wikimedia.org/wikipedia/commons/8/8b/Tejedor_de_mimbre_02.JPG
882949457,"one_person
several_persons_but_one_persons_depiction_is_dominant","0.6667
0.3333",,0,female,0.3333,female,0.6667,http://upload.wikimedia.org/wikipedia/commons/d/d4/Fotothek_df_roe-neg_0001729_004_Kernmacherin_bei_der_Arbeit.jpg
882949458,one_person,1,,0,,0,"male
gender_is_not_recognizable
female","0.3438
0.3438
0.3125",http://upload.wikimedia.org/wikipedia/commons/0/00/Van_Gogh_-_Weber_am_Webstuhl_-_%28Profil_nach_rechts%293.jpeg
882949459,one_person,1,,0,,0,"male
gender_is_not_recognizable
female","0.3333
0.3333
0.3333",http://upload.wikimedia.org/wikipedia/commons/d/d6/Henni_webt.jpg
882949460,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/6/66/Weberhaus.jpg
882949461,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/a/ab/Haus_Kr%C3%A4nholm%2C_Wappen_Knoop_FHB1883.jpg
882949462,one_person,1,,0,,0,male,1,http://upload.wikimedia.org/wikipedia/commons/e/e9/Steinmetz-brunnen.jpg
882949463,"several_persons_no_single_persons_depiction_is_dominant
several_persons_but_one_persons_depiction_is_dominant","0.6562
0.3438",only_male,0.6562,male,0.3438,,0,http://upload.wikimedia.org/wikipedia/commons/a/ae/DBP_1986_1275_Jugend_Maurer.jpg
882949464,several_persons_no_single_persons_depiction_is_dominant,1,"only_male
mixed_but_predominantly_male_persons","0.6667
0.3333",,0,,0,http://upload.wikimedia.org/wikipedia/commons/4/43/Maurer_1880.jpg
882949465,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/b/b8/Firmenschild_des_Maurers_Diogenes_Pompeji.jpg
882949466,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/b/bf/1838-10_Conrad_Mohrbotter_Wanderbuch_Maurergeselle_K%C3%B6nigreich_Hannover%2C_%2802%29.jpg
882949467,one_person,1,,0,,0,male,1,http://upload.wikimedia.org/wikipedia/commons/d/db/Bricklayer_J4.jpg
882949468,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/a/ab/Maurerlade_A.JPG
882949469,"several_persons_but_one_persons_depiction_is_dominant
one_person","0.6562
0.3438",,0,female,0.6562,female,0.3438,http://upload.wikimedia.org/wikipedia/commons/0/0d/Reporter.jpg
882949470,"several_persons_no_single_persons_depiction_is_dominant
several_persons_but_one_persons_depiction_is_dominant","0.6667
0.3333",mixed_equal_amount_of_male_and_female_persons,0.6667,gender_is_not_recognizable,0.3333,,0,http://upload.wikimedia.org/wikipedia/commons/3/37/US_Navy_050427-N-9693B-004_Dental_Hygienist_Liza_Siwa_conducts_a_routine_cleaning.jpg
882949471,one_person,1,,0,,0,"female
male","0.6562
0.3438",http://upload.wikimedia.org/wikipedia/commons/6/68/ScientificReview.jpg
