_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,no_of_persons,person_plural,person_singular_dom,person_singular_nondom,image_url,no_of_persons_gold,no_of_persons_gold_reason,person_plural_gold,person_plural_gold_reason,person_singular_dom_gold,person_singular_dom_gold_reason,person_singular_nondom_gold,person_singular_nondom_gold_reason
882949379,2/16/2016 16:01:11,false,1895653519,,2/16/2016 15:59:05,false,cf_internal,1.0,36495647,USA,VA,Ashburn,54.196.68.111,one_person,,,gender_is_not_recognizable,http://upload.wikimedia.org/wikipedia/commons/3/3b/Hugo_M%C3%BChlig_J%C3%A4ger_mit_Hund_im_Grafenberger_Wald.jpg,,,,,,,,
882949379,2/18/2016 20:25:31,false,1898502112,,2/18/2016 20:24:36,false,neodev,1.0,30013819,SRB,02,Novi Sad,24.135.241.119,one_person,,,male,http://upload.wikimedia.org/wikipedia/commons/3/3b/Hugo_M%C3%BChlig_J%C3%A4ger_mit_Hund_im_Grafenberger_Wald.jpg,,,,,,,,
882949379,2/18/2016 20:26:07,false,1898502536,,2/18/2016 20:24:43,false,clixsense,0.9231,6631846,TUR,38,Kayseri,78.181.188.26,one_person,,,male,http://upload.wikimedia.org/wikipedia/commons/3/3b/Hugo_M%C3%BChlig_J%C3%A4ger_mit_Hund_im_Grafenberger_Wald.jpg,,,,,,,,
882949380,2/16/2016 16:01:11,false,1895653514,,2/16/2016 15:59:05,false,cf_internal,1.0,36495647,USA,VA,Ashburn,54.196.68.111,one_person,,,male,http://upload.wikimedia.org/wikipedia/commons/d/d3/En_f%C3%A6r%C3%B8sk_j%C3%A6ger.jpg,,,,,,,,
882949380,2/18/2016 20:25:31,false,1898502122,,2/18/2016 20:24:36,false,neodev,1.0,30013819,SRB,02,Novi Sad,24.135.241.119,one_person,,,male,http://upload.wikimedia.org/wikipedia/commons/d/d3/En_f%C3%A6r%C3%B8sk_j%C3%A6ger.jpg,,,,,,,,
882949380,2/18/2016 20:26:07,false,1898502539,,2/18/2016 20:24:43,false,clixsense,0.9231,6631846,TUR,38,Kayseri,78.181.188.26,one_person,,,male,http://upload.wikimedia.org/wikipedia/commons/d/d3/En_f%C3%A6r%C3%B8sk_j%C3%A6ger.jpg,,,,,,,,
882949381,2/16/2016 16:10:20,false,1895659113,,2/16/2016 16:08:57,false,cf_internal,1.0,36495647,USA,VA,Ashburn,107.22.38.195,one_person,,,male,http://upload.wikimedia.org/wikipedia/commons/0/05/Joachim_von_Sandrart_-_November.jpg,,,,,,,,
882949381,2/18/2016 20:26:17,false,1898502632,,2/18/2016 20:25:25,false,clixsense,1.0,25922045,BRA,30,Recife,200.223.204.170,one_person,,,male,http://upload.wikimedia.org/wikipedia/commons/0/05/Joachim_von_Sandrart_-_November.jpg,,,,,,,,
882949381,2/18/2016 20:27:00,false,1898503384,,2/18/2016 20:25:22,false,elite,1.0,33102233,VNM,20,Ho Chi Minh City,171.233.5.131,no_person,,,,http://upload.wikimedia.org/wikipedia/commons/0/05/Joachim_von_Sandrart_-_November.jpg,,,,,,,,
882949382,2/16/2016 16:04:33,false,1895655859,,2/16/2016 16:02:46,false,cf_internal,1.0,36495647,USA,VA,Ashburn,54.204.146.136,one_person,,,male,http://upload.wikimedia.org/wikipedia/commons/5/5c/Hunter_in_Italy_Stavoli_2008_1004.JPG,,,,,,,,
882949382,2/18/2016 20:26:09,false,1898502585,,2/18/2016 20:25:04,false,neodev,1.0,20045399,GBR,M2,Solihull,82.36.155.235,one_person,,,male,http://upload.wikimedia.org/wikipedia/commons/5/5c/Hunter_in_Italy_Stavoli_2008_1004.JPG,,,,,,,,
882949382,2/18/2016 20:27:18,false,1898503612,,2/18/2016 20:25:04,false,clixsense,1.0,30169593,SVK,03,Kosice,188.167.213.72,one_person,,,male,http://upload.wikimedia.org/wikipedia/commons/5/5c/Hunter_in_Italy_Stavoli_2008_1004.JPG,,,,,,,,
882949383,2/16/2016 16:04:33,false,1895655862,,2/16/2016 16:02:46,false,cf_internal,1.0,36495647,USA,VA,Ashburn,54.204.146.136,no_person,,,,http://upload.wikimedia.org/wikipedia/commons/8/81/Battenberg_J%C3%A4gerkreuz_2.JPG,,,,,,,,
882949383,2/18/2016 20:26:20,false,1898502682,,2/18/2016 20:25:01,false,clixsense,1.0,25912200,ROU,23,Iasi,86.124.179.87,no_person,,,,http://upload.wikimedia.org/wikipedia/commons/8/81/Battenberg_J%C3%A4gerkreuz_2.JPG,,,,,,,,
