,labor_market_woman,Bias,Bias2,WikiName,Ambigious,Name,Oppositgender,Profession_name,NormalizedGoogleDif,l_m_without_outliers,NormalizedGoogleDif2
Bautechniker,22.5084770306,male,0,Bautechniker,0,Bautechniker,Bautechnikerin,Bautechniker,0.898734177215,22.5084770306,0.898734177215
Bauwerksabdichter,0.942760942761,male,0,Bauwerksabdichter,0,Bauwerksabdichter,Bauwerksabdichterin,Bauwerksabdichter,0.887179487179,0.942760942761,0.887179487179
Bauwerksmechaniker für Abbruch und Betontrenntechnik,1.2849391531,male,0,Bauwerksmechaniker für Abbruch und Betontrenntechnik,0,Bauwerksmechaniker für Abbruch und Betontrenntechnik,Bauwerksmechanikerin für Abbruch und Betontrenntechnik,Bauwerksmechaniker für Abbruch und Betontrenntechnik,0.43661971831,1.2849391531,0.43661971831
Bauzeichner,55.2902652383,male,0,Bauzeichner,0,Bauzeichner,Bauzeichnerin,Bauzeichner,0.791044776119,55.2902652383,0.791044776119
Beleghebamme,99.8431372549,female,2,Beleghebamme,0,Beleghebamme,Belegentbindungspfleger,Belegentbindungspfleger,-0.993448107618,99.8431372549,-0.993448107618
Beleuchter,12.5905136121,male,0,Beleuchter,0,Beleuchter,Beleuchterin,Beleuchter,0.903801298619,12.5905136121,0.903801298619
Beleuchtungsmeister,19.2571659265,male,0,Beleuchtungsmeister,0,Beleuchtungsmeister,Beleuchtungsmeisterin,Beleuchtungsmeister,0.912126537786,19.2571659265,0.912126537786
Berechnungsingenieur,12.2531548471,male,0,Berechnungsingenieur,0,Berechnungsingenieur,Berechnungsingenieurin,Berechnungsingenieur,0.956908479937,12.2531548471,0.956908479937
Berg- und Maschinenmann,7.26492128967,male,0,Berg- und Maschinenmann,0,Berg- und Maschinenmann,Berg- und Maschinenfrau,Berg- und Maschinenmann,0.933415536375,7.26492128967,0.933415536375
Bergbautechnologe,7.26492128967,male,0,Bergbautechnologe,0,Bergbautechnologe,Bergbautechnologin,Bergbautechnologe,0.659278024066,7.26492128967,0.659278024066
Berufskraftfahrer,1.7043032114,male,0,Berufskraftfahrer,0,Berufskraftfahrer,Berufskraftfahrerin,Berufskraftfahrer,0.950682738959,1.7043032114,0.950682738959
Beschließerin,93.6919095072,female,2,Beschließerin,0,Beschließerin,Beschließer,Beschließer,-0.320905459387,93.6919095072,-0.320905459387
Bestatter,26.2594161959,male,0,Bestatter,0,Bestatter,Bestatterin,Bestatter,0.933344573709,26.2594161959,0.933344573709
Beton- und Stahlbetonbauer,0.723795907426,male,0,Beton- und Stahlbetonbauer,0,Beton- und Stahlbetonbauer,Beton- und Stahlbetonbauerin,Beton- und Stahlbetonbauer,0.928100510014,0.723795907426,0.928100510014
Betonfertigteilbauer,1.71388101983,male,0,Betonfertigteilbauer,0,Betonfertigteilbauer,Betonfertigteilbauerin,Betonfertigteilbauer,0.934168365861,1.71388101983,0.934168365861
Betonstahlbieger und -flechter,0.723795907426,male,0,Betonstahlbieger und -flechter,0,Betonstahlbieger und -flechter,Betonstahlbiegerin und -flechterin,Betonstahlbieger und -flechter,1.0,0.723795907426,1.0
Betriebsführer,25.9924816691,male,0,Betriebsführer,0,Betriebsführer,Betriebsführerin,Betriebsführer,0.800590691516,25.9924816691,0.800590691516
Betriebsinformatiker,25.5314765985,male,0,Betriebsinformatiker,0,Betriebsinformatiker,Betriebsinformatikerin,Betriebsinformatiker,0.820971867008,25.5314765985,0.820971867008
Betriebsingenieur,15.718731148,male,0,Betriebsingenieur,0,Betriebsingenieur,Betriebsingenieurin,Betriebsingenieur,0.963275204989,15.718731148,0.963275204989
Betriebssanitäter,21.3708058503,male,0,Betriebssanitäter,0,Betriebssanitäter,Betriebssanitäterin,Betriebssanitäter,0.958077709611,21.3708058503,0.958077709611
Betriebswirt,44.2377678932,male,0,Betriebswirt,0,Betriebswirt,Betriebswirtin,Betriebswirt,0.59266802444,44.2377678932,0.59266802444
Bewährungshelfer,74.9556154125,male,0,Bewährungshelfer,0,Bewährungshelfer,Bewährungshelferin,Bewährungshelfer,0.229357798165,74.9556154125,0.229357798165
Bezirksamtsleiter,21.2482255121,male,0,Bezirksamtsleiter,0,Bezirksleiter,Bezirksleiterin,Bezirksleiter,0.71144278607,21.2482255121,0.71144278607
Bibliothekar,81.5969741542,male,0,Bibliothekar,0,Bibliothekar,Bibliothekarin,Bibliothekar,0.483021483021,81.5969741542,0.483021483021
Biersieder,3.84404173531,male,0,Biersieder,0,Biersieder,Biersiederin,Biersieder,0.965635738832,3.84404173531,0.965635738832
Bildredakteur,50.5608415413,male,0,Bildredakteur,0,Bildredakteur,Bildredakteurin,Bildredakteur,0.192743764172,50.5608415413,0.192743764172
Biologe,64.447695684,male,0,Biologe,0,Biologe,Biologin,Biologe,0.230610134436,64.447695684,0.230610134436
Biologielaborant,73.2942168505,male,0,Biologielaborant,0,Biologielaborant,Biologielaborantin,Biologielaborant,0.554677206851,73.2942168505,0.554677206851
Biologiemodellmacher,10.0019805902,male,0,Biologiemodellmacher,0,Biologiemodellmacher,Biologiemodellmacherin,Biologiemodellmacher,0.803499327052,10.0019805902,0.803499327052
Biologisch-technischer Assistent,73.2942168505,male,0,Biologisch-technischer Assistent,0,Biologisch-technischer Assistent,Biologisch-technische Assistentin,Biologisch-technischer Assistent,0.20824742268,73.2942168505,0.20824742268
Bodenleger,0.557103064067,male,0,Bodenleger,0,Bodenleger,Bodenlegerin,Bodenleger,0.984723642269,0.557103064067,0.984723642269
Bohrwerkdreher,2.73770282356,male,0,Bohrwerkdreher,0,Bohrwerkdreher,Bohrwerkdreherin,Bohrwerkdreher,0.933701657459,2.73770282356,0.933701657459
Bootsbauer,1.21315420092,male,0,Bootsbauer,0,Bootsbauer,Bootsbauerin,Bootsbauer,0.951672862454,1.21315420092,0.951672862454
Bootsführer,5.69221386461,male,0,Bootsführer,0,Bootsführer,Bootsführerin,Bootsführer,0.969955428383,5.69221386461,0.969955428383
Bootsmann,3.8146208153,male,0,Bootsmann,0,Bootsmann,Bootsfrau,Bootsmann,0.964876773554,3.8146208153,0.964876773554
Bote,47.8940392206,neutral,1,Bote,0,Bote,Botin,Bote,0.838901838902,47.8940392206,0.838901838902
Brauer und Mälzer,3.84404173531,male,0,Brauer und Mälzer,0,Brauer und Mälzer,Brauerin und Mälzerin,Brauer und Mälzer,0.826983792886,3.84404173531,0.826983792886
Braumeister,4.35766836446,male,0,Braumeister,0,Braumeister,Braumeisterin,Braumeister,0.97635759143,4.35766836446,0.97635759143
Brunnenbauer,0.531914893617,male,0,Brunnenbauer,0,Brunnenbauer,Brunnenbauerin,Brunnenbauer,0.974795374821,0.531914893617,0.974795374821
Brückenwärter,7.47126436782,male,0,Brückenwärter,0,Brückenwärter,Brückenwärterin,Brückenwärter,0.94624652456,7.47126436782,0.94624652456
Buchbinder,36.6999465145,male,0,Buchbinder,0,Buchbinder,Buchbinderin,Buchbinder,0.955292501189,36.6999465145,0.955292501189
Buchhalter,79.0444149597,male,0,Buchhalter,0,Buchhalter,Buchhalterin,Buchhalter,0.740273396425,79.0444149597,0.740273396425
Buchhändler,83.0677624958,male,0,Buchhändler,0,Buchhändler,Buchhändlerin,Buchhändler,0.759098786828,83.0677624958,0.759098786828
Bundeskanzler,18.1568088033,neutral,1,Bundeskanzler,1,Bundeskanzler,Bundeskanzlerin,Bundeskanzler,-0.408695652174,18.1568088033,-0.408695652174
Butler,93.6919095072,male,0,Butler,0,Butler,Butlerin,Butler,0.999683383464,93.6919095072,0.999683383464
Bäcker,29.4110759864,male,0,Bäcker,0,Bäcker,Bäckerin,Bäcker,0.957005189029,29.4110759864,0.957005189029
Büchsenmacher,3.10172465159,male,0,Büchsenmacher,0,Büchsenmacher,Büchsenmacherin,Büchsenmacher,0.980453227365,3.10172465159,0.980453227365
Büchsenmeister,2.87769784173,male,0,Büchsenmeister,0,Büchsenmachermeister,Büchsenmachermeisterin,Büchsenmachermeister,0.992090954029,2.87769784173,0.992090954029
Bühnenmaler,70.9736680955,male,0,Bühnenmaler,0,Bühnenmaler,Bühnenmalerin,Bühnenmaler,0.667645331767,70.9736680955,0.667645331767
Bühnenmeister,19.2571659265,male,0,Bühnenmeister,0,Bühnenmeister,Bühnenmeisterin,Bühnenmeister,0.91473448018,19.2571659265,0.91473448018
Büroinformationselektroniker,11.4381605553,male,0,Büroinformationselektroniker,0,Büroinformationselektroniker,Büroinformationselektronikerin,Büroinformationselektroniker,0.953818827709,11.4381605553,0.953818827709
Büroleiter,70.9926383282,male,0,Büroleiter,0,Büroleiter,Büroleiterin,Büroleiter,0.354166666667,70.9926383282,0.354166666667
Büromaschinenmechaniker,11.4381605553,male,0,Büromaschinenmechaniker,0,Büromaschinenmechaniker,Büromaschinenmechanikerin,Büromaschinenmechaniker,0.910313901345,11.4381605553,0.910313901345
Bürovorsteher,94.3062952197,male,0,Bürovorsteher,0,Bürovorsteher,Bürovorsteherin,Bürovorsteher,0.0451612903226,94.3062952197,0.0451612903226
Calculator,35.7425929421,male,0,Calculator,0,Kalkulator,Kalkulatorin,Kalkulator,0.999608198597,35.7425929421,0.999608198597
Callcenteragent,60.0417870759,male,0,Callcenteragent,0,Callcenteragent,Callcenteragentin,Callcenteragent,0.924927815207,60.0417870759,0.924927815207
Chefarzt,24.865650882,male,0,Chefarzt,0,Chefarzt,Chefärztin,Chefarzt,0.825168107589,24.865650882,0.825168107589
Chefpilot,6.46539170954,male,0,Chefpilot,0,Chefpilot,Chefpilotin,Chefpilot,0.984390035283,6.46539170954,0.984390035283
Chefredakteur,31.7397555715,male,0,Chefredakteur,0,Chefredakteur,Chefredakteurin,Chefredakteur,0.622980251346,31.7397555715,0.622980251346
Chemielaborant,59.1680426246,male,0,Chemielaborant,0,Chemielaborant,Chemielaborantin,Chemielaborant,0.673405909798,59.1680426246,0.673405909798
Chemielaborjungwerker,59.1680426246,male,0,Chemielaborjungwerker,0,Chemielaborjungwerker,Chemielaborjungwerkerin,Chemielaborjungwerker,0.839388145315,59.1680426246,0.839388145315
Chemigraf,44.0740740741,male,0,Chemigraf,0,Chemigraf,Chemigrafin,Chemigraf,0.949748743719,44.0740740741,0.949748743719
Chemikant,26.7838353922,male,0,Chemikant,0,Chemikant,Chemikantin,Chemikant,0.838016528926,26.7838353922,0.838016528926
Chemiker,14.1397849462,male,0,Chemiker,0,Chemiker,Chemikerin,Chemiker,0.855050694705,14.1397849462,0.855050694705
Chemisch-Technischer Assistent,59.1680426246,male,0,Chemisch-Technischer Assistent,0,Chemisch-technischer Assistent,Chemisch-technische Assistentin,Chemisch-technischer Assistent,0.413114754098,59.1680426246,0.413114754098
Clown,54.5454545455,male,0,Clown,0,Clown,Clownin,Clown,0.992776186325,54.5454545455,0.992776186325
Conférencier,48.0295566502,male,0,Conférencier,0,Conférencier,Conférencieuse,Conférencier,0.999446519994,48.0295566502,0.999446519994
Croupier,18.8318693173,male,0,Croupier,0,Croupier,Croupière,Croupier,0.891891891892,18.8318693173,0.891891891892
Cutter (Film),26.5236833389,male,0,Cutter (Film),0,Cutter,Cutterin,Cutter,0.998206571879,26.5236833389,0.998206571879
Dachdecker,0.400729968205,male,0,Dachdecker,0,Dachdecker,Dachdeckerin,Dachdecker,0.993338054397,0.400729968205,0.993338054397
Datenbankadministrator,23.924239907,male,0,Datenbankadministrator,0,Datenbankadministrator,Datenbankadministratorin,Datenbankadministrator,0.897503285151,23.924239907,0.897503285151
Datenschutzbeauftragter,57.9327818764,male,0,Datenschutzbeauftragter,0,Datenschutzbeauftragter,Datenschutzbeauftragte,Datenschutzbeauftragter,0.233532934132,57.9327818764,0.233532934132
Datentechnischer Assistent,11.4381605553,male,0,Datentechnischer Assistent,0,Datentechnischer Assistent,Datentechnische Assistentin,Datentechnischer Assistent,0.652173913043,11.4381605553,0.652173913043
Datentypist,79.4443583916,male,0,Datentypist,0,Datentypist,Datentypistin,Datentypist,0.309352517986,79.4443583916,0.309352517986
Datenverarbeitungskaufmann,25.5314765985,male,0,Datenverarbeitungskaufmann,0,Datenverarbeitungskaufmann,Datenverarbeitungskauffrau,Datenverarbeitungskaufmann,0.601884570082,25.5314765985,0.601884570082
Dekorationsmalerei,70.9736680955,neutral,1,Dekorationsmalerei,0,Dekorationenmaler,Dekorationenmalerin,Dekorationenmaler,0.957446808511,70.9736680955,0.957446808511
Dekorvorlagenhersteller,50.1462693284,male,0,Dekorvorlagenhersteller,0,Dekorvorlagenhersteller,Dekorvorlagenherstellerin,Dekorvorlagenhersteller,0.669341894061,50.1462693284,0.669341894061
Denkmaltechnischer Assistent,13.1957960296,male,0,Denkmaltechnischer Assistent,0,Denkmaltechnischer Assistent,Denkmaltechnische Assistentin,Denkmaltechnischer Assistent,0.55223880597,13.1957960296,0.55223880597
Designer,48.9152458611,male,0,Designer,0,Designer,Designerin,Designer,0.994259514668,48.9152458611,0.994259514668
Desinfektor,13.1873479319,male,0,Desinfektor,0,Desinfektor,Desinfektorin,Desinfektor,0.87375249501,13.1873479319,0.87375249501
Detektiv,14.3413873733,male,0,Detektiv,0,Detektiv,Detektivin,Detektiv,0.952277657267,14.3413873733,0.952277657267
Diakon,58.6139959235,neutral,1,Diakon,0,Diakon,Diakonin,Diakon,0.813292354975,58.6139959235,0.813292354975
Diamantschleifer,60.9995903318,male,0,Diamantschleifer,0,Diamantschleifer,Diamantschleiferin,Diamantschleifer,0.976639712489,60.9995903318,0.976639712489
Dichter,47.7832512315,male,0,Dichter,0,Dichter,Dichterin,Dichter,0.929184801788,47.7832512315,0.929184801788
Diener,93.6919095072,male,0,Diener,0,Diener,Dienerin,Diener,0.909610131612,93.6919095072,0.909610131612
Diplom-Handelslehrer,63.6176386302,male,0,Diplom-Handelslehrer,0,Handelslehrer,Handelslehrerin,Handelslehrer,0.5682382134,63.6176386302,0.5682382134
Direktor,62.9975429975,neutral,1,Direktor,1,Direktor,Direktrice,Direktor,0.998790700297,62.9975429975,0.998790700297
Dirigent,27.8372591006,male,0,Dirigent,0,Dirigent,Dirigentin,Dirigent,0.914453259745,27.8372591006,0.914453259745
Disponent,21.3708058503,male,0,Disponent,0,Disponent,Disponentin,Disponent,0.818181818182,21.3708058503,0.818181818182
Diätkoch,56.8326947637,male,0,Diätkoch,0,Diätkoch,Diätköchin,Diätkoch,0.485645933014,56.8326947637,0.485645933014
Dokumentar,62.5742942051,male,0,Dokumentar,0,Dokumentar,Dokumentarin,Dokumentar,0.977669970521,62.5742942051,0.977669970521
Dolmetscher,69.8481848185,male,0,Dolmetscher,0,Dolmetscher,Dolmetscherin,Dolmetscher,0.651773625778,69.8481848185,0.651773625778
Dompteur,41.5165165165,male,0,Dompteur,0,Dompteur,Dompteuse,Dompteur,0.645390070922,41.5165165165,0.645390070922
Dozent,51.7249764431,male,0,Dozent,0,Dozent,Dozentin,Dozent,0.418952618454,51.7249764431,0.418952618454
Drahtwarenmacher,12.937104197,male,0,Drahtwarenmacher,0,Drahtwarenmacher,Drahtwarenmacherin,Drahtwarenmacher,0.856741573034,12.937104197,0.856741573034
Dramatiker,51.4743851067,male,0,Dramatiker,0,Dramatiker,Dramatikerin,Dramatiker,0.926745516978,51.4743851067,0.926745516978
Dramaturg,51.4743851067,male,0,Dramaturg,0,Dramaturg,Dramaturgin,Dramaturg,0.853379879403,51.4743851067,0.853379879403
Drechsler,60.4,male,0,Drechsler,0,Drechsler,Drechslerin,Drechsler,0.992335789351,60.4,0.992335789351
Drehbuchautor,47.7832512315,male,0,Drehbuchautor,0,Drehbuchautor,Drehbuchautorin,Drehbuchautor,0.642512077295,47.7832512315,0.642512077295
Edelmetallprüfer,19.3917391602,male,0,Edelmetallprüfer,0,Edelmetallprüfer,Edelmetallprüferin,Edelmetallprüfer,0.681908548708,19.3917391602,0.681908548708
Edelsteinfasser,60.9995903318,male,0,Edelsteinfasser,0,Edelsteinfasser,Edelsteinfasserin,Edelsteinfasser,0.797752808989,60.9995903318,0.797752808989
Edelsteingraveur,60.9995903318,male,0,Edelsteingraveur,0,Edelsteingraveur,Edelsteingraveurin,Edelsteingraveur,0.764705882353,60.9995903318,0.764705882353
Edelsteinschleifer,60.9995903318,male,0,Edelsteinschleifer,0,Edelsteinschleifer,Edelsteinschleiferin,Edelsteinschleifer,0.835016835017,60.9995903318,0.835016835017
Einkäufer,49.0421123053,male,0,Einkäufer,0,Einkäufer,Einkäuferin,Einkäufer,0.865021770682,49.0421123053,0.865021770682
Einrichtungsberater,56.4822153968,male,0,Einrichtungsberater,0,Einrichtungsfachberater,Einrichtungsfachberaterin,Einrichtungsfachberater,0.546275395034,56.4822153968,0.546275395034
Einsatzleiter,14.3865948534,male,0,Einsatzleiter,0,Einsatzleiter,Einsatzleiterin,Einsatzleiter,0.873914376213,14.3865948534,0.873914376213
Elektroanlagenmonteur,3.41477678862,male,0,Elektroanlagenmonteur,0,Elektroanlagenmonteur,Elektroanlagenmonteurin,Elektroanlagenmonteur,0.895762586741,3.41477678862,0.895762586741
Elektroingenieur,25.5998730188,male,0,Elektroingenieur,0,Elektroingenieur,Elektroingenieurin,Elektroingenieur,0.958571945586,25.5998730188,0.958571945586
Elektroinstallateur,11.4381605553,male,0,Elektroinstallateur,0,Elektroinstallateur,Elektroinstallateurin,Elektroinstallateur,0.98633736206,11.4381605553,0.98633736206
Elektromechaniker,25.5998730188,male,0,Elektromechaniker,0,Elektromechaniker,Elektromechanikerin,Elektromechaniker,0.972549831023,25.5998730188,0.972549831023
Elektromechanikermeister,1.19304480264,male,0,Elektromechanikermeister,0,Elektromechanikermeister,Elektromechanikermeisterin,Elektromechanikermeister,0.986230636833,1.19304480264,0.986230636833
Elektromonteur,1.46126422781,male,0,Elektromonteur,0,Elektromonteur,Elektromonteurin,Elektromonteur,0.981605351171,1.46126422781,0.981605351171
Elektroniker,25.5998730188,male,0,Elektroniker,0,Elektroniker,Elektronikerin,Elektroniker,0.934855233853,25.5998730188,0.934855233853
Energieberater,41.0920869968,male,0,Energieberater,0,Energieberater,Energieberaterin,Energieberater,0.92918747163,41.0920869968,0.92918747163
Energieelektroniker,4.9236883504,male,0,Energieelektroniker,0,Energieelektroniker,Energieelektronikerin,Energieelektroniker,0.946096223647,4.9236883504,0.946096223647
Ensembleleiter,27.8372591006,male,0,Ensembleleiter,0,Ensembleleiter,Ensembleleiterin,Ensembleleiter,0.584307808374,27.8372591006,0.584307808374
Entwickler,12.2531548471,male,0,Entwickler,1,Entwickler,Entwicklerin,Entwickler,0.994959463152,12.2531548471,0.994959463152
Entwicklungshelfer,34.1637010676,male,0,Entwicklungshelfer,0,Entwicklungshelfer,Entwicklungshelferin,Entwicklungshelfer,0.762752792031,34.1637010676,0.762752792031
Erntehelfer,21.5765899789,male,0,Erntehelfer,0,Erntehelfer,Erntehelferin,Erntehelfer,0.915119363395,21.5765899789,0.915119363395
Erzieher,91.0178488053,male,0,Erzieher,0,Erzieher,Erzieherin,Erzieher,0.388942774006,91.0178488053,0.388942774006
Estrichleger,0.557103064067,male,0,Estrichleger,0,Estrichleger,Estrichlegerin,Estrichleger,0.984324740633,0.557103064067,0.984324740633
Ethnologe,64.6258503401,male,0,Ethnologe,0,Ethnologe,Ethnologin,Ethnologe,0.186046511628,64.6258503401,0.186046511628
Euro-Fremdsprachenkorrespondent,89.5453170683,male,0,Euro-Fremdsprachenkorrespondent,0,Euro-Fremdsprachenkorrespondent,Euro-Fremdsprachenkorrespondentin,Euro-Fremdsprachenkorrespondent,0.543859649123,89.5453170683,0.543859649123
Ewerführer,5.69221386461,male,0,Ewerführer,0,Ewerführer,Ewerführerin,Ewerführer,0.940532081377,5.69221386461,0.940532081377
Expedient,37.0142226858,male,0,Expedient,0,Expedient,Expedientin,Expedient,0.996801462189,37.0142226858,0.996801462189
Fachapotheker,83.8102088662,male,0,Fachapotheker,0,Fachapotheker,Fachapothekerin,Fachapotheker,0.315453384419,83.8102088662,0.315453384419
Facharbeiter für Fertigungsmittel,3.10172465159,male,0,Facharbeiter für Fertigungsmittel,0,Facharbeiter für Fertigungsmittel,Facharbeiterin für Fertigungsmittel,Facharbeiter für Fertigungsmittel,0.803278688525,3.10172465159,0.803278688525
Facharbeiter für Nachrichtentechnik,11.4381605553,male,0,Facharbeiter für Nachrichtentechnik,0,Facharbeiter für Nachrichtentechnik,Facharbeiterin für Nachrichtentechnik,Facharbeiter für Nachrichtentechnik,0.955128205128,11.4381605553,0.955128205128
Facharzt,54.1590254126,male,0,Facharzt,0,Facharzt,Fachärztin,Facharzt,0.548856548857,54.1590254126,0.548856548857
Fachberater für Finanzdienstleistungen,44.3380220021,male,0,Fachberater für Finanzdienstleistungen,0,Fachberater für Finanzdienstleistungen,Fachberaterin für Finanzdienstleistungen,Fachberater für Finanzdienstleistungen,0.766233766234,44.3380220021,0.766233766234
Fachinformatiker,16.2154269235,male,0,Fachinformatiker,0,Fachinformatiker,Fachinformatikerin,Fachinformatiker,0.661721068249,16.2154269235,0.661721068249
Fachlagerist,24.9768310941,male,0,Fachlagerist,0,Fachlagerist,Fachlageristin,Fachlagerist,0.871091871092,24.9768310941,0.871091871092
Fachlehrer,63.6176386302,male,0,Fachlehrer,0,Fachlehrer,Fachlehrerin,Fachlehrer,0.554347826087,63.6176386302,0.554347826087
Fachmann,71.6330078909,male,0,Fachmann,1,Fachmann,Fachfrau,Fachmann,0.781443298969,71.6330078909,0.781443298969
